,sentence,label,stripped sentence,predict_region,predict_label,predict_country,predict_city,region,country,city,Aleppo,Algiers,Alexandria,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddha,Jerusalem,Khartoum,Mosul,Modern Standard Arabic,Muscat,Rabat,Riyadh,Salt,Sana'a,Sfax,Tripoli,Tunis,sentence tokens,length of sentence
10,فالوقت لي الرسول صلى الله عليه وسلم أوصى بالرفق بالحيوان .. ناض هدا لي فالصورة قام بتعذيب قط هزو وبقا كيدورو بيدو وسيبو فالسماء معرفتش أصلا أش عملو ؟ واش حنا مراض لهاد الدراجة ؟ مابغيتش نبوسطيه باش مانمرطكومشي,RAB,فالوقت لي الرسول صلى الله عليه وسلم أوصى بالرفق بالحيوان  ناض هدا لي فالصورة قام بتعذيب قط هزو وبقا كيدورو بيدو وسيبو فالسماء معرفتش أصلا أش عملو  واش حنا مراض لهاد الدراجة  مابغيتش نبوسطيه باش مانمرطكومشي,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Rabat,2.317990502581219e-09,0.00024168866174238167,4.360672473368413e-10,5.967056733397234e-09,1.699793611087583e-09,1.2864057014099099e-09,4.840884795588294e-10,6.837499709192907e-10,3.2408201244822826e-08,1.3917292997221317e-09,2.815914670277029e-09,3.5692968433443624e-08,0.004133461056758766,1.7272704007230313e-08,8.975617272396388e-09,9.02503498299567e-09,2.868307115462932e-10,2.824458073513393e-10,9.901880254704982e-09,0.9956208820079409,8.220476740317832e-09,3.4451300633523636e-09,7.1581159951348835e-09,6.36515064989241e-08,3.7384220848809296e-06,1.644776501509336e-08,"['فالوقت', 'لي', 'الرسول', 'صلى', 'الله', 'عليه', 'وسلم', 'أوصى', 'بالرفق', 'بالحيوان', 'ناض', 'هدا', 'لي', 'فالصورة', 'قام', 'بتعذيب', 'قط', 'هزو', 'وبقا', 'كيدورو', 'بيدو', 'وسيبو', 'فالسماء', 'معرفتش', 'أصلا', 'أش', 'عملو', 'واش', 'حنا', 'مراض', 'لهاد', 'الدراجة', 'مابغيتش', 'نبوسطيه', 'باش', 'مانمرطكومشي']",36
11,نعم شفتو هدو اصلان معندهمش تربيا مقدا معرفنش اش خصهم يدرو وشنو لمخصهمش يدرو تيضحكو معرستهم بحلي شيء عدي ولكن غيجبها غ فرسو يمهل ولا يهمل,RAB,نعم شفتو هدو اصلان معندهمش تربيا مقدا معرفنش اش خصهم يدرو وشنو لمخصهمش يدرو تيضحكو معرستهم بحلي شيء عدي ولكن غيجبها غ فرسو يمهل ولا يهمل,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,Rabat,0.00023600745451311526,3.9509560299660154e-05,7.079291574220066e-07,8.698252532241599e-06,1.999577386238728e-06,6.977293919216469e-06,9.165119918291156e-06,1.159696481142559e-06,7.408018196987439e-05,1.4497322942380893e-05,1.1490355463347616e-05,1.5269734563549177e-05,0.9968587250130412,0.0008216632948591558,1.7398459420565113e-05,2.1016805243770277e-05,3.744293033418846e-06,8.705597910994618e-07,0.00018185606261019233,0.0008279673613976272,0.0007433574396729056,3.909471508937907e-05,4.3921333734525135e-06,1.4080443908469525e-05,4.114013821657834e-05,5.1308011956051e-06,"['نعم', 'شفتو', 'هدو', 'اصلان', 'معندهمش', 'تربيا', 'مقدا', 'معرفنش', 'اش', 'خصهم', 'يدرو', 'وشنو', 'لمخصهمش', 'يدرو', 'تيضحكو', 'معرستهم', 'بحلي', 'شيء', 'عدي', 'ولكن', 'غيجبها', 'غ', 'فرسو', 'يمهل', 'ولا', 'يهمل']",26
12,شنو هما البلايص اللي كيعجبكم التمشاو فيهم فالرباط ليلا,RAB,شنو هما البلايص اللي كيعجبكم التمشاو فيهم فالرباط ليلا,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Rabat,1.3501677013742849e-09,5.654897851727565e-07,5.064848552014436e-10,1.076204013108199e-08,2.066851696034711e-09,1.1489324824728136e-08,2.472435820257432e-08,1.1009067908054847e-09,6.454507994464232e-08,2.8369146297685057e-09,1.7017775207158274e-09,1.5042935853814165e-06,0.0233534840711593,6.935953758074867e-08,1.638107973057906e-09,1.1223802993163127e-08,1.17668407507008e-09,1.0038396189061213e-10,4.647012178870943e-09,0.9766440680198331,1.3851811568386345e-08,1.0185092387931853e-08,8.764226738657799e-09,8.221799695136362e-08,3.352545107746556e-08,2.0351623209721326e-08,"['شنو', 'هما', 'البلايص', 'اللي', 'كيعجبكم', 'التمشاو', 'فيهم', 'فالرباط', 'ليلا']",9
13,الرباط المدينة الي تقدر تبغيها و تعشقها غير من الصور أما الواقع شي حاجة أخرى,RAB,الرباط المدينة الي تقدر تبغيها و تعشقها غير من الصور أما الواقع شي حاجة أخرى,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Rabat,4.2718414732889484e-09,3.6375403629751035e-06,1.0410055795968643e-09,2.7824179183954386e-09,7.410649562826487e-10,2.7054342099799952e-09,1.9031513569144214e-09,5.642471233571444e-10,6.623754660070801e-05,1.746661376054897e-09,2.7874156874533155e-09,3.2104940016227625e-08,0.017776605393335396,1.818876446209977e-08,6.5920335051609224e-09,1.5570755613971047e-08,9.37372963087823e-11,9.57941820609565e-10,2.2572570250452003e-07,0.9821523969152341,6.809972517679823e-08,1.4954150382294716e-08,2.6393293829412966e-09,8.844427163108031e-09,6.240044663378154e-07,8.628525347588131e-08,"['الرباط', 'المدينة', 'الي', 'تقدر', 'تبغيها', 'و', 'تعشقها', 'غير', 'من', 'الصور', 'أما', 'الواقع', 'شي', 'حاجة', 'أخرى']",15
14,انا ديرو لي غير الرفيسة والله تنجي نبارك لكم,RAB,انا ديرو لي غير الرفيسة والله تنجي نبارك لكم,Gulf,RAB,Morocco,Rabat,Maghreb,Morocco,Rabat,3.990455687991529e-06,0.00028534193284289656,8.009260396570764e-07,7.36130148618885e-06,7.939244875384436e-06,2.9302478165653484e-05,0.00022045217994329854,3.593721103811456e-06,0.0015152664371069948,1.1365932581390743e-05,1.273207798553171e-05,0.48092588307719725,0.0025315009149828004,0.003308209015582064,5.65583093810162e-06,0.0008252379478060763,4.964962116538442e-06,1.20999889430412e-07,0.0005837843310968098,0.48338607469235256,0.019084650537858985,0.0001271554813129602,0.005457476222170724,0.0007311878667129924,0.0008436963399180493,8.625509224581065e-05,"['انا', 'ديرو', 'لي', 'غير', 'الرفيسة', 'والله', 'تنجي', 'نبارك', 'لكم']",9
15,ملي تمشي للگاراج تصاوب سيارتك ديما كاين واحد الولد صغير يتعلم تما ...يحل و يسد و ينضف و يسيق و يمسح و يتجرح و لكبيرة و الصغيرة في راسو,RAB,ملي تمشي للگاراج تصاوب سيارتك ديما كاين واحد الولد صغير يتعلم تما يحل و يسد و ينضف و يسيق و يمسح و يتجرح و لكبيرة و الصغيرة في راسو,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Rabat,1.3704296505863645e-06,0.029217872512250567,8.314437722066299e-08,1.7716218284273975e-06,3.0360254587070377e-07,4.824942493466114e-07,1.344333837820882e-06,1.468329318658606e-06,0.0034076962709222417,5.453601221379043e-06,3.456669098349757e-06,8.22242679013899e-06,0.3052816702121027,1.7706881592765077e-05,9.294401444321049e-05,6.362675336918751e-05,1.3777338869647316e-07,3.9890054948271224e-08,4.8345198662763656e-06,0.6590626662667927,9.827145641208725e-05,0.00013144706655787654,2.0773284844830595e-06,0.0016435265875717475,0.0008482701054523574,0.00010325570782028712,"['ملي', 'تمشي', 'للگاراج', 'تصاوب', 'سيارتك', 'ديما', 'كاين', 'واحد', 'الولد', 'صغير', 'يتعلم', 'تما', 'يحل', 'و', 'يسد', 'و', 'ينضف', 'و', 'يسيق', 'و', 'يمسح', 'و', 'يتجرح', 'و', 'لكبيرة', 'و', 'الصغيرة', 'في', 'راسو']",29
16,غير هما لعندوم الكرش حنا نموتو ولا نغرقو ميهمهش الا اعمرو كرشوم لمشكل مكيشبعوش كيفترسو كلشي أرضا وبرا وبحرا وجوا وما تحت الارض غدي نتحاسبو أمام الله . كل ساق سيسقا بما سقا,OUJ,غير هما لعندوم الكرش حنا نموتو ولا نغرقو ميهمهش الا اعمرو كرشوم لمشكل مكيشبعوش كيفترسو كلشي أرضا وبرا وبحرا وجوا وما تحت الارض غدي نتحاسبو أمام الله  كل ساق سيسقا بما سقا,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,Oujda,0.0005120655931925232,0.0030231754181710624,6.11925882551006e-05,0.00025963662988125414,3.535441859384795e-05,2.5787634094309444e-05,5.5830242183316335e-05,2.7329924963164945e-05,0.011126268543292434,5.925339408440372e-05,0.0007055780673667415,0.0013143740752376862,0.9563658274319465,0.004547642004607988,0.00048021200386195746,0.00010050541418134573,8.986264858604702e-06,1.1624386069717632e-06,0.0002229643659341522,0.013304823753131382,0.0038534258866655953,0.0006066893626138237,7.927293352462178e-05,0.0002878322125516266,0.002739641436315567,0.00019516796188386314,"['غير', 'هما', 'لعندوم', 'الكرش', 'حنا', 'نموتو', 'ولا', 'نغرقو', 'ميهمهش', 'الا', 'اعمرو', 'كرشوم', 'لمشكل', 'مكيشبعوش', 'كيفترسو', 'كلشي', 'أرضا', 'وبرا', 'وبحرا', 'وجوا', 'وما', 'تحت', 'الارض', 'غدي', 'نتحاسبو', 'أمام', 'الله', 'كل', 'ساق', 'سيسقا', 'بما', 'سقا']",32
17,هادوك الناس ناضو يهدروا على حقهم البطالة كترت عندهم لحقاش بلعولهوم الحدود ومدارولهمش البديل وغادي يديرولهم ونتا بقا حاضي ناس عوض ماديروا يد فيد وتهظرو على حقكم اوا بقاو ناعسين وحاضيين الناس,OUJ,هادوك الناس ناضو يهدروا على حقهم البطالة كترت عندهم لحقاش بلعولهوم الحدود ومدارولهمش البديل وغادي يديرولهم ونتا بقا حاضي ناس عوض ماديروا يد فيد وتهظرو على حقكم اوا بقاو ناعسين وحاضيين الناس,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,Oujda,9.040660045856059e-05,0.0008128031004306265,5.1424945362407505e-06,0.0007011061266738476,9.96619969157309e-06,3.877344083937835e-05,0.0001246932680833018,6.769292083545637e-06,0.0011527593764038668,1.725503075178291e-05,0.0001202734066964925,0.0015197506487963986,0.704930309150343,0.0015408184998999127,0.0021010078892103423,5.891170505287891e-05,4.553691276846811e-06,1.3435464188172086e-07,0.00010922843334115196,0.28406114904591945,0.0006285802643060811,0.0017651287271422873,2.7764941543181285e-05,1.918731250444186e-05,0.00014454107189498702,8.985927477843614e-06,"['هادوك', 'الناس', 'ناضو', 'يهدروا', 'على', 'حقهم', 'البطالة', 'كترت', 'عندهم', 'لحقاش', 'بلعولهوم', 'الحدود', 'ومدارولهمش', 'البديل', 'وغادي', 'يديرولهم', 'ونتا', 'بقا', 'حاضي', 'ناس', 'عوض', 'ماديروا', 'يد', 'فيد', 'وتهظرو', 'على', 'حقكم', 'اوا', 'بقاو', 'ناعسين', 'وحاضيين', 'الناس']",32
18,السكوم...وفالناضور يكولولو براغوش...كيجي واعر مع البيض..اخويا دفتر نتاع نمر شفناه . ديال دبع موحال,OUJ,السكوموفالناضور يكولولو براغوشكيجي واعر مع البيضاخويا دفتر نتاع نمر شفناه  ديال دبع موحال,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Oujda,2.8055106781039336e-08,7.361271093910323e-07,5.167387466258238e-10,2.8957808764057896e-08,7.359548337925395e-10,6.749269480322204e-09,2.3895764297411698e-09,5.461134949528173e-09,1.469922808719506e-07,2.483791168911117e-09,3.7191046284457645e-08,8.350436136362794e-08,0.0005129695112410536,3.923683454611705e-08,2.765530235874052e-08,7.443324104899195e-09,7.755531934461888e-10,5.1166095404697104e-11,7.656710428079894e-09,0.9994856722727726,1.7503856717669307e-08,4.581257846025234e-08,1.962185371125797e-09,4.063273896781714e-08,6.412552294927116e-08,2.619603416879722e-08,"['السكوموفالناضور', 'يكولولو', 'براغوشكيجي', 'واعر', 'مع', 'البيضاخويا', 'دفتر', 'نتاع', 'نمر', 'شفناه', 'ديال', 'دبع', 'موحال']",13
19,السلام عليكم الاخوان ناس وجدة الله يجزيكم بالخير كاين واحد السيد الولد ديالو يالاه تزاد مريد الرجل ديالو عوجة بغا يدسرلو عملية باش تسكد نيشان و ملقاش باش الدري حتا هو يالاه تزوج و خدام غير كل مرة فاش يلاه يجيب باش يعيشو هو و الزوجة ديالو الله يخليكم اللي قدر يعاونو ولا يتساعد معاه لوجه اللة و ديك الملائكة يعاونهوم,OUJ,السلام عليكم الاخوان ناس وجدة الله يجزيكم بالخير كاين واحد السيد الولد ديالو يالاه تزاد مريد الرجل ديالو عوجة بغا يدسرلو عملية باش تسكد نيشان و ملقاش باش الدري حتا هو يالاه تزوج و خدام غير كل مرة فاش يلاه يجيب باش يعيشو هو و الزوجة ديالو الله يخليكم اللي قدر يعاونو ولا يتساعد معاه لوجه اللة و ديك الملائكة يعاونهوم,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Oujda,1.698631082855796e-10,6.721850069434315e-06,4.62661673122113e-11,3.9618202070597386e-10,1.6730557418004455e-10,1.0365758412953292e-10,2.4933791822187134e-10,1.1459327799407243e-10,3.692633970468931e-09,4.2453051517581124e-10,1.5208555346014517e-10,8.842315608954056e-10,0.0002077456379761954,2.5367992955973e-09,3.310249685080898e-10,1.0951894383793404e-09,1.234883651817274e-10,1.2361591660597072e-11,1.9051143131395232e-10,0.9997853574980854,6.942971040326197e-10,1.2190272317373609e-09,4.815585863006114e-10,1.3151784064948226e-07,1.3869355482626938e-08,1.6541727469896417e-08,"['السلام', 'عليكم', 'الاخوان', 'ناس', 'وجدة', 'الله', 'يجزيكم', 'بالخير', 'كاين', 'واحد', 'السيد', 'الولد', 'ديالو', 'يالاه', 'تزاد', 'مريد', 'الرجل', 'ديالو', 'عوجة', 'بغا', 'يدسرلو', 'عملية', 'باش', 'تسكد', 'نيشان', 'و', 'ملقاش', 'باش', 'الدري', 'حتا', 'هو', 'يالاه', 'تزوج', 'و', 'خدام', 'غير', 'كل', 'مرة', 'فاش', 'يلاه', 'يجيب', 'باش', 'يعيشو', 'هو', 'و', 'الزوجة', 'ديالو', 'الله', 'يخليكم', 'اللي', 'قدر', 'يعاونو', 'ولا', 'يتساعد', 'معاه', 'لوجه', 'اللة', 'و', 'ديك', 'الملائكة', 'يعاونهوم']",61
20,ميمكنش تكون طلع نازل و تشوف هاد تصويرة و متحطش جادووغ,OUJ,ميمكنش تكون طلع نازل و تشوف هاد تصويرة و متحطش جادووغ,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Oujda,0.0002143192607793522,0.000511049086763583,1.731619216626875e-07,7.897828816834459e-05,1.699999406015253e-07,3.3848251656001536e-06,2.6880009951078216e-06,1.6077003972347582e-05,4.373160816682519e-05,4.4901819009307e-06,0.0018399720494976244,9.347996150660395e-06,0.08964623602746742,3.958593494750313e-06,5.681672049050395e-05,4.078564554686541e-06,7.75679050114058e-08,3.487224415798317e-09,2.6071899101379476e-06,0.8983622512157824,3.724616684492141e-06,0.009127665230480485,2.500302142419814e-07,1.7173223499641056e-05,4.063480833998818e-05,1.0141260528936803e-05,"['ميمكنش', 'تكون', 'طلع', 'نازل', 'و', 'تشوف', 'هاد', 'تصويرة', 'و', 'متحطش', 'جادووغ']",11
21,ولد لعبيد دارها فالمسلمين وهما مبليين بالكراسي والكروش,OUJ,ولد لعبيد دارها فالمسلمين وهما مبليين بالكراسي والكروش,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Oujda,0.0012241303563749312,0.004518051996311449,3.7510050082080754e-05,0.0021553479093244453,4.528788627900069e-05,0.0006685705406929354,0.0007951547868220836,0.0010643154045511531,0.005396273686831383,0.00014839705970034467,0.004590427179664573,0.004999693510563168,0.0028923490100814697,0.005005947516755027,0.002696735599541981,0.0006703825976287893,3.957993385584146e-05,1.6416136059110508e-06,0.0007627712921010221,0.949299712253121,0.0035152021221890534,0.004135997803574125,0.00021568417362709456,0.00043521478535281144,0.004559710289471244,0.00012591064189703904,"['ولد', 'لعبيد', 'دارها', 'فالمسلمين', 'وهما', 'مبليين', 'بالكراسي', 'والكروش']",8
22,ناصر الزفزافي كاع لفديو ديال مظاهرة كيقولهم حنا مكنظربوش حنا كنهدرو واها الكدابين هدوك المخزن تفو علهم,OUJ,ناصر الزفزافي كاع لفديو ديال مظاهرة كيقولهم حنا مكنظربوش حنا كنهدرو واها الكدابين هدوك المخزن تفو علهم,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,Oujda,2.1411402533193376e-09,1.575712434153323e-06,1.9715936523418833e-09,9.917839898568437e-09,5.09994396181603e-09,7.684107987813119e-09,1.3207830238322896e-08,1.1694644759579242e-09,1.0901916765548243e-07,5.9661987193310686e-09,9.205388201911068e-09,1.9612544177088383e-08,0.9985281000789109,8.416351561246267e-08,8.975147976082159e-09,1.4182199560253796e-08,5.231314222497794e-10,2.1443742137042747e-10,1.674778779958387e-08,0.0014698197998472514,9.386131797994417e-09,2.80908138066591e-08,5.982720429051128e-09,1.4259806787016477e-08,1.3351708215291231e-07,3.370813630170885e-09,"['ناصر', 'الزفزافي', 'كاع', 'لفديو', 'ديال', 'مظاهرة', 'كيقولهم', 'حنا', 'مكنظربوش', 'حنا', 'كنهدرو', 'واها', 'الكدابين', 'هدوك', 'المخزن', 'تفو', 'علهم']",17
