,sentence,label,badspelling sentence,predict_region,predict_label,predict_country,predict_city,region,country,city,Aleppo,Algiers,Alexandria,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddha,Jerusalem,Khartoum,Mosul,Modern Standard Arabic,Muscat,Rabat,Riyadh,Salt,Sana'a,Sfax,Tripoli,Tunis
10,فالوقت لي الرسول صلى الله عليه وسلم أوصى بالرفق بالحيوان .. ناض هدا لي فالصورة قام بتعذيب قط هزو وبقا كيدورو بيدو وسيبو فالسماء معرفتش أصلا أش عملو ؟ واش حنا مراض لهاد الدراجة ؟ مابغيتش نبوسطيه باش مانمرطكومشي,RAB,فالوقت لي الرسول صلي الله عليه وسلم اوصي بالرفق بالحيوان  ناض هدا لي فالصوره قام بتعذيب قط هزو وبقا كيدورو بيدو وسيبو فالسماء معرفتش اصلا اش عملو  واش حنا مراض لهاد الدراجه  مابغيتش نبوسطيه باش مانمرطكومشي,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Rabat,4.456815664097482e-09,0.00022400660364517932,1.2480025800049006e-10,2.7335334533118194e-09,1.2658697920747915e-09,4.7077473428794154e-09,1.722908697946491e-09,7.28704040114722e-10,3.7511047350694784e-08,1.7412454957790778e-09,2.974989968373228e-09,8.588798839507042e-08,0.007209236768756295,3.006418429395325e-08,3.6048367732816534e-09,1.1113068878552226e-08,4.071254010388614e-09,1.4335187723709314e-10,1.0019916873458611e-08,0.9925517527349399,1.2634865838179149e-08,8.267330959453615e-09,3.362467447106508e-08,1.2266126877022382e-07,1.4607473455604333e-05,1.6358799898518144e-08
11,نعم شفتو هدو اصلان معندهمش تربيا مقدا معرفنش اش خصهم يدرو وشنو لمخصهمش يدرو تيضحكو معرستهم بحلي شيء عدي ولكن غيجبها غ فرسو يمهل ولا يهمل,RAB,نعم شفتو هدو اصلان معندهمش تربيا مقدا معرفنش اش خصهم يدرو وشنو لمخصهمش يدرو تيضحكو معرستهم بحلي شيء عدي ولكن غيجبها غ فرسو يمهل ولا يهمل,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,Rabat,0.00023600745451311526,3.9509560299660154e-05,7.079291574220066e-07,8.698252532241599e-06,1.999577386238728e-06,6.977293919216469e-06,9.165119918291156e-06,1.159696481142559e-06,7.408018196987439e-05,1.4497322942380893e-05,1.1490355463347616e-05,1.5269734563549177e-05,0.9968587250130412,0.0008216632948591558,1.7398459420565113e-05,2.1016805243770277e-05,3.744293033418846e-06,8.705597910994618e-07,0.00018185606261019233,0.0008279673613976272,0.0007433574396729056,3.909471508937907e-05,4.3921333734525135e-06,1.4080443908469525e-05,4.114013821657834e-05,5.1308011956051e-06
12,شنو هما البلايص اللي كيعجبكم التمشاو فيهم فالرباط ليلا,RAB,شنو هما البلايص اللي كيعجبكم التمشاو فيهم فالرباط ليلا,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Rabat,1.3501677013742849e-09,5.654897851727565e-07,5.064848552014436e-10,1.076204013108199e-08,2.066851696034711e-09,1.1489324824728136e-08,2.472435820257432e-08,1.1009067908054847e-09,6.454507994464232e-08,2.8369146297685057e-09,1.7017775207158274e-09,1.5042935853814165e-06,0.0233534840711593,6.935953758074867e-08,1.638107973057906e-09,1.1223802993163127e-08,1.17668407507008e-09,1.0038396189061213e-10,4.647012178870943e-09,0.9766440680198331,1.3851811568386345e-08,1.0185092387931853e-08,8.764226738657799e-09,8.221799695136362e-08,3.352545107746556e-08,2.0351623209721326e-08
13,الرباط المدينة الي تقدر تبغيها و تعشقها غير من الصور أما الواقع شي حاجة أخرى,RAB,الرباط المدينه الي تقدر تبغيها و تعشقها غير من الصور اما الواقع شي حاجه اخري,Maghreb,TRI,Libya,Tripoli,Maghreb,Morocco,Rabat,4.02194298227483e-08,1.1008537225044451e-06,4.1721012782766854e-09,1.0685855346389452e-07,2.2078387120290516e-08,5.154264182313095e-07,8.594834937217729e-07,1.606530694502007e-08,0.00014198713098300135,4.2099947956414966e-07,8.883087389316718e-08,4.182108884123398e-06,1.996335581577213e-06,1.8846491800786858e-06,3.0864769624534543e-07,4.28603018538849e-07,7.835344431106075e-07,2.1650382532930148e-09,1.8319709692064697e-05,3.1821848555435347e-06,1.8609200976461775e-05,2.877862957892366e-06,0.0075270092929353195,1.1026585415710286e-06,0.9922741081611363,4.276631346938542e-08
14,انا ديرو لي غير الرفيسة والله تنجي نبارك لكم,RAB,انا ديرو لي غير الرفيسه والله تنجي نبارك لكم,Gulf,DOH,Qatar,Doha,Maghreb,Morocco,Rabat,2.705645758387493e-07,4.558369035671962e-06,5.030094602190578e-08,8.595161784029129e-07,8.034305222320635e-07,5.951493285908539e-06,5.3802552724979126e-05,2.7631340122545436e-07,0.00011881133159547028,1.9612314915432322e-06,1.6631795036119128e-06,0.9922349199346499,2.911305210697468e-05,0.0004140641855179173,6.542613410370575e-07,6.862196659200417e-05,2.748463954213418e-06,8.70239986600015e-09,9.116117215754575e-05,0.0008546453466433517,0.0033079536423878753,1.7228295241532467e-05,0.0027147616149944156,4.026458549946265e-06,7.032210055359028e-05,7.625196487685676e-07
15,ملي تمشي للگاراج تصاوب سيارتك ديما كاين واحد الولد صغير يتعلم تما ...يحل و يسد و ينضف و يسيق و يمسح و يتجرح و لكبيرة و الصغيرة في راسو,RAB,ملي تمشي للگاراج تصاوب سيارتك ديما كاين واحد الولد صغير يتعلم تما يحل و يسد و ينضف و يسيق و يمسح و يتجرح و لكبيره و الصغيره في راسو,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Rabat,1.3536757264306732e-06,0.027747734375493403,8.463140264009282e-08,1.7176469465828882e-06,3.1201310143541196e-07,1.175323269640113e-06,1.624054882567573e-06,1.3138960665938636e-06,0.003633445653821533,8.312893461561638e-06,3.866650600249323e-06,9.780667878202954e-06,0.28220173139556104,1.588124698280889e-05,7.816952524219044e-05,8.343093018980918e-05,4.198022552854222e-07,4.3196587075166065e-08,6.395756001594404e-06,0.6810071072383252,0.00011786607778241281,0.00012249776931691915,8.338335923602912e-06,0.0021312481198550942,0.0027097935540106952,0.00010635556931547056
16,غير هما لعندوم الكرش حنا نموتو ولا نغرقو ميهمهش الا اعمرو كرشوم لمشكل مكيشبعوش كيفترسو كلشي أرضا وبرا وبحرا وجوا وما تحت الارض غدي نتحاسبو أمام الله . كل ساق سيسقا بما سقا,OUJ,غير هما لعندوم الكرش حنا نموتو ولا نغرقو ميهمهش الا اعمرو كرشوم لمشكل مكيشبعوش كيفترسو كلشي ارضا وبرا وبحرا وجوا وما تحت الارض غدي نتحاسبو امام الله  كل ساق سيسقا بما سقا,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,Oujda,0.0003388650864701251,0.0026223277409850336,3.924138767191703e-05,0.00016758726587063851,3.079245817649822e-05,3.044360862262618e-05,8.011816233928436e-05,2.1384827797012463e-05,0.010257871770964194,5.110572078889853e-05,0.000570636321936452,0.0017105363404398524,0.956939593482359,0.004713792939983791,0.0002904846135942317,5.670466595597994e-05,1.542118755343186e-05,3.7687341908633656e-07,0.00019056579819766884,0.012947878181425643,0.004103211000507146,0.0008884583794211802,0.00010476518660633465,0.00039707651235336476,0.003292354109987483,0.00013840637657305913
17,هادوك الناس ناضو يهدروا على حقهم البطالة كترت عندهم لحقاش بلعولهوم الحدود ومدارولهمش البديل وغادي يديرولهم ونتا بقا حاضي ناس عوض ماديروا يد فيد وتهظرو على حقكم اوا بقاو ناعسين وحاضيين الناس,OUJ,هادوك الناس ناضو يهدروا علي حقهم البطاله كترت عندهم لحقاش بلعولهوم الحدود ومدارولهمش البديل وغادي يديرولهم ونتا بقا حاضي ناس عوض ماديروا يد فيد وتهظرو علي حقكم اوا بقاو ناعسين وحاضيين الناس,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Oujda,0.00016067211552212062,0.0005105390043095053,6.641199005688913e-07,9.726454069647928e-05,2.5120681097879917e-06,9.054736889735141e-06,1.7908049027580554e-05,5.99262502355495e-06,0.000538127028895122,6.579471918176166e-06,2.3997871860191763e-05,0.0004296274673761298,0.013928603797626832,0.00017811394178175936,0.00020425537155020684,7.599347861505719e-05,4.687644634683431e-06,1.6773233738174186e-07,2.1075680213039836e-05,0.6910435308660924,5.0112395157486963e-05,0.00014214945664050267,1.713113971704795e-05,2.9359436037468977e-05,0.292492343312078,9.536647989140474e-06
18,السكوم...وفالناضور يكولولو براغوش...كيجي واعر مع البيض..اخويا دفتر نتاع نمر شفناه . ديال دبع موحال,OUJ,السكوموفالناضور يكولولو براغوشكيجي واعر مع البيضاخويا دفتر نتاع نمر شفناه  ديال دبع موحال,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Oujda,2.8055106781039336e-08,7.361271093910323e-07,5.167387466258238e-10,2.8957808764057896e-08,7.359548337925395e-10,6.749269480322204e-09,2.3895764297411698e-09,5.461134949528173e-09,1.469922808719506e-07,2.483791168911117e-09,3.7191046284457645e-08,8.350436136362794e-08,0.0005129695112410536,3.923683454611705e-08,2.765530235874052e-08,7.443324104899195e-09,7.755531934461888e-10,5.1166095404697104e-11,7.656710428079894e-09,0.9994856722727726,1.7503856717669307e-08,4.581257846025234e-08,1.962185371125797e-09,4.063273896781714e-08,6.412552294927116e-08,2.619603416879722e-08
19,السلام عليكم الاخوان ناس وجدة الله يجزيكم بالخير كاين واحد السيد الولد ديالو يالاه تزاد مريد الرجل ديالو عوجة بغا يدسرلو عملية باش تسكد نيشان و ملقاش باش الدري حتا هو يالاه تزوج و خدام غير كل مرة فاش يلاه يجيب باش يعيشو هو و الزوجة ديالو الله يخليكم اللي قدر يعاونو ولا يتساعد معاه لوجه اللة و ديك الملائكة يعاونهوم,OUJ,السلام عليكم الاخوان ناس وجده الله يجزيكم بالخير كاين واحد السيد الولد ديالو يالاه تزاد مريد الرجل ديالو عوجه بغا يدسرلو عمليه باش تسكد نيشان و ملقاش باش الدري حتا هو يالاه تزوج و خدام غير كل مره فاش يلاه يجيب باش يعيشو هو و الزوجه ديالو الله يخليكم اللي قدر يعاونو ولا يتساعد معاه لوجه الله و ديك الملائكه يعاونهوم,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Oujda,7.947740640999801e-11,9.4939593426361e-06,2.1770520613106198e-11,2.475284971416271e-10,1.1944548745151537e-10,1.5884374318606703e-10,2.0096650033476268e-10,5.739684447668085e-11,2.7280916744243612e-09,5.904330778869688e-10,1.0746454071390302e-10,7.11040169280896e-10,6.454948403385821e-05,1.4220487044186364e-09,1.8881204053709895e-10,6.866129859961136e-10,3.123004703944313e-10,8.837091397639307e-12,1.8972452796429048e-10,0.9999257917075414,6.116208387362378e-10,6.694744170842659e-10,1.3267852197391882e-09,1.0722054100570333e-07,4.0035227282152694e-08,7.1546390490844435e-09
20,ميمكنش تكون طلع نازل و تشوف هاد تصويرة و متحطش جادووغ,OUJ,ميمكنش تكون طلع نازل و تشوف هاد تصويره و متحطش جادووغ,Levant,SAL,Jordan,Salt,Maghreb,Morocco,Oujda,0.07071163679791068,0.0012250924686607724,3.0740714222471996e-06,0.003647233697924654,3.302420013285546e-06,0.00011936887261582914,5.8248637319171506e-05,0.0004061182702984653,0.0010321755384678996,0.00021537157656647494,0.13509373412601247,0.00016226524133034257,0.05054838332841793,6.079155803044122e-05,0.0030208460547586184,8.89841338936367e-05,3.4755113299932824e-06,3.289999722241597e-08,4.2306744206374604e-05,0.30522214370183826,7.846782302688333e-05,0.4252889077175483,1.0474394427325614e-05,4.8856641258323325e-05,0.002877741283688206,3.096648903619241e-05
21,ولد لعبيد دارها فالمسلمين وهما مبليين بالكراسي والكروش,OUJ,ولد لعبيد دارها فالمسلمين وهما مبليين بالكراسي والكروش,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Oujda,0.0012241303563749312,0.004518051996311449,3.7510050082080754e-05,0.0021553479093244453,4.528788627900069e-05,0.0006685705406929354,0.0007951547868220836,0.0010643154045511531,0.005396273686831383,0.00014839705970034467,0.004590427179664573,0.004999693510563168,0.0028923490100814697,0.005005947516755027,0.002696735599541981,0.0006703825976287893,3.957993385584146e-05,1.6416136059110508e-06,0.0007627712921010221,0.949299712253121,0.0035152021221890534,0.004135997803574125,0.00021568417362709456,0.00043521478535281144,0.004559710289471244,0.00012591064189703904
22,ناصر الزفزافي كاع لفديو ديال مظاهرة كيقولهم حنا مكنظربوش حنا كنهدرو واها الكدابين هدوك المخزن تفو علهم,OUJ,ناصر الزفزافي كاع لفديو ديال مظاهره كيقولهم حنا مكنظربوش حنا كنهدرو واها الكدابين هدوك المخزن تفو علهم,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,Oujda,1.987725421310294e-09,1.3962193332943363e-06,1.9459058407428368e-09,1.0024318254576e-08,5.9676560119283965e-09,1.0440782586960926e-08,1.3200248756967092e-08,1.0282240965861545e-09,1.2478382879629152e-07,7.792421146782607e-09,9.134200347706084e-09,1.982726066498851e-08,0.9986064572885334,8.412981769251827e-08,8.618158005064829e-09,1.5869260617391378e-08,9.239235535669427e-10,2.2463595552357062e-10,1.9691003101041384e-08,0.0013915421447412192,1.0164865130674774e-08,2.7421615306051654e-08,1.0397056491692223e-08,1.5797811439048308e-08,2.0175482800589364e-07,3.2218447990810888e-09
23,انا محلو بخليها وعم مهلن ل يطلعوها ويقلن هذا الموجود ويعزم امرأة من رفقات امو ل عندا بالمستشفى احتفالا بسلامتها ويطوشن ليدفعولو هني مليون و يقولولو دخيلك خذها وفل,BEI,انا محلو بخليها وعم مهلن ل يطلعوها ويقلن هذا الموجود ويعزم امراه من رفقات امو ل عندا بالمستشفي احتفالا بسلامتها ويطوشن ليدفعولو هني مليون و يقولولو دخيلك خذها وفل,Gulf,DOH,Qatar,Doha,Levant,Lebanon,Beirut,1.3547433872589788e-05,4.7071045359344465e-05,4.759767679010958e-07,4.0989036136139034e-05,5.721255488405503e-06,0.00027419876071264996,0.0010641606893620678,2.6254436072773055e-05,0.0005990284892888496,2.0354176857823686e-05,3.543272215916489e-05,0.49553515491366484,1.9332484048973855e-06,0.0003755992353210129,5.532389314878761e-05,4.853053567582357e-05,0.000204722398768487,1.1247339779424469e-06,0.0019628372176422014,4.276417977550134e-06,0.013635404356774369,0.017312070111574675,0.4643573036618254,0.0006837425970015214,0.00019872017882861963,0.003496022477336144
24,ليليان انحرمت من طفلها في غيبوبة في بعد أبشع واقسى من قلب والد الطفل ونزعه من أمه وهذا حصل في فترة غيبوبة ليليان في إنفجار مرفأ بيروت ولادهم راحت قيمتها الله يكون بعون الاهل وولادهم ويمرر هلازمة ع خير,BEI,ليليان انحرمت من طفلها في غيبوبه في بعد ابشع واقسي من قلب والد الطفل ونزعه من امه وهذا حصل في فتره غيبوبه ليليان في انفجار مرفا بيروت ولادهم راحت قيمتها الله يكون بعون الاهل وولادهم ويمرر هلازمه ع خير,Gulf,SAL,Jordan,Salt,Levant,Lebanon,Beirut,0.0005432196602473908,0.00028708923575722497,3.5621302814055846e-06,0.0033172723561584816,8.7080943731448e-05,0.00023122162875936303,0.0005996380337587151,7.56793485218845e-05,0.005941418816859871,0.001728968501772939,0.001413432088691502,0.10345086606525429,8.45738903300419e-06,0.005754141902473691,0.016142996909959264,0.010532724251394393,0.0001276690962536608,9.218166420760984e-05,0.34373559097533213,1.0413731187223355e-06,0.028592627154249945,0.4125427332641201,0.010285624410428336,0.002836380084695158,0.05162342820299594,4.4954511943713737e-05
25,الله يجمعك فيه لابنك بأقرب وقت وربنا ما بروح لك تعبك وعذابك ياحبيبت قلبي اعطي دعم لنفسك وكوني قويه وربنا معك حبي مستحيل تصير ببلدنا للأسف شعب اغلبه بتشغلوا المظاهر والعنصرية بكل اشكالها مريض,BEI,الله يجمعك فيه لابنك باقرب وقت وربنا ما بروح لك تعبك وعذابك ياحبيبت قلبي اعطي دعم لنفسك وكوني قويه وربنا معك حبي مستحيل تصير ببلدنا للاسف شعب اغلبه بتشغلوا المظاهر والعنصريه بكل اشكالها مريض,Gulf,RIY,Saudi Arabia,Riyadh,Levant,Lebanon,Beirut,0.0005272077912384572,5.072902000290787e-07,4.119426537141563e-07,0.00851486423313269,8.483866299686624e-06,0.00011156296002255441,0.005268873501363934,0.00012944735889122122,0.008724899808743624,1.684272002425377e-05,0.006740402082473047,0.017206914601334222,6.757662751784375e-08,0.20819956209279952,0.006074291703933323,2.4429752709024737e-05,6.583807293680853e-05,1.2840580844351358e-07,0.0015023991524137055,2.1528256706204533e-08,0.4486308443720174,0.11793130083162454,0.1699687279848861,5.146095447431764e-06,0.0003456617163971302,1.162557764962783e-06
26,ان شالله يارب يفرجها عليكم ويطبق القانون ويرتاح راسكم وتتفضوا لدرسكم امين البعض ما بيعرف كيف ولادنا عايشين بايطاليا بالقلة بالتقشف بالاكل والملبس وكيف الاهل عمبحولوا لولادهم اجار السكن سعر الدولار حتى ما ينطردوا برا وينذلوا ويخسروا علمهم بس اديش الاهل قادرين يصمدوا ع هالوضع,BEI,ان شالله يارب يفرجها عليكم ويطبق القانون ويرتاح راسكم وتتفضوا لدرسكم امين البعض ما بيعرف كيف ولادنا عايشين بايطاليا بالقله بالتقشف بالاكل والملبس وكيف الاهل عمبحولوا لولادهم اجار السكن سعر الدولار حتي ما ينطردوا برا وينذلوا ويخسروا علمهم بس اديش الاهل قادرين يصمدوا ع هالوضع,Levant,BEI,Lebanon,Beirut,Levant,Lebanon,Beirut,0.02806459888240099,2.3770844002384815e-06,5.983570715973161e-07,0.005700544083003892,2.2050068159923117e-06,0.00013688019524040482,0.0026381220613865904,0.8914887358351815,0.0029537563386388527,1.7675448194039424e-05,0.03087964417276566,0.0023219015568005006,8.551440539545067e-08,0.00628320603726404,0.011423183867765712,0.000809867439124023,4.762773022656868e-05,1.0253777029947735e-07,0.00018025251125844513,1.0669593670097294e-07,0.0032623412603013774,0.013162872001573577,0.00026873871616645527,9.025304911035276e-06,0.0003444389170918791,1.1124443037725438e-06
